code,date,weight
688585,2025-08-08,0.1
301217,2025-08-08,0.1
002837,2025-08-08,0.1
300486,2025-08-08,0.1
688025,2025-08-08,0.1
002017,2025-08-08,0.1
688108,2025-08-08,0.1
002104,2025-08-08,0.1
301377,2025-08-08,0.1
688577,2025-08-08,0.1
688585,2025-08-11,0.1
301217,2025-08-11,0.1
002837,2025-08-11,0.1
688025,2025-08-11,0.1
300394,2025-08-11,0.1
002017,2025-08-11,0.1
688108,2025-08-11,0.1
301377,2025-08-11,0.1
688577,2025-08-11,0.1
601138,2025-08-11,0.1
688585,2025-08-12,0.1
300308,2025-08-12,0.1
300548,2025-08-12,0.1
002837,2025-08-12,0.1
688025,2025-08-12,0.1
300394,2025-08-12,0.1
002017,2025-08-12,0.1
688108,2025-08-12,0.1
688313,2025-08-12,0.1
300803,2025-08-12,0.1
300502,2025-08-13,0.1
300308,2025-08-13,0.1
301217,2025-08-13,0.1
300548,2025-08-13,0.1
002837,2025-08-13,0.1
300486,2025-08-13,0.1
688025,2025-08-13,0.1
300394,2025-08-13,0.1
002017,2025-08-13,0.1
688313,2025-08-13,0.1
688585,2025-08-14,0.1
300502,2025-08-14,0.1
300308,2025-08-14,0.1
301217,2025-08-14,0.1
300548,2025-08-14,0.1
002837,2025-08-14,0.1
688025,2025-08-14,0.1
300394,2025-08-14,0.1
002017,2025-08-14,0.1
002940,2025-08-14,0.1
688585,2025-08-15,0.1
300502,2025-08-15,0.1
301217,2025-08-15,0.1
300548,2025-08-15,0.1
002837,2025-08-15,0.1
002017,2025-08-15,0.1
002940,2025-08-15,0.1
688108,2025-08-15,0.1
688313,2025-08-15,0.1
301200,2025-08-15,0.1
688585,2025-08-18,0.1
300502,2025-08-18,0.1
603256,2025-08-18,0.1
300308,2025-08-18,0.1
301217,2025-08-18,0.1
300548,2025-08-18,0.1
002837,2025-08-18,0.1
300394,2025-08-18,0.1
002017,2025-08-18,0.1
002940,2025-08-18,0.1
688585,2025-08-19,0.1
300502,2025-08-19,0.1
603256,2025-08-19,0.1
300308,2025-08-19,0.1
301217,2025-08-19,0.1
300548,2025-08-19,0.1
002837,2025-08-19,0.1
688025,2025-08-19,0.1
300394,2025-08-19,0.1
002017,2025-08-19,0.1
688585,2025-08-20,0.1
300502,2025-08-20,0.1
603256,2025-08-20,0.1
300548,2025-08-20,0.1
688025,2025-08-20,0.1
002017,2025-08-20,0.1
002940,2025-08-20,0.1
688108,2025-08-20,0.1
600410,2025-08-20,0.1
688313,2025-08-20,0.1
688585,2025-08-21,0.1
300502,2025-08-21,0.1
603256,2025-08-21,0.1
300308,2025-08-21,0.1
300548,2025-08-21,0.1
002837,2025-08-21,0.1
300486,2025-08-21,0.1
688025,2025-08-21,0.1
002017,2025-08-21,0.1
002940,2025-08-21,0.1
688585,2025-08-22,0.1
300502,2025-08-22,0.1
300308,2025-08-22,0.1
300548,2025-08-22,0.1
300486,2025-08-22,0.1
688025,2025-08-22,0.1
300394,2025-08-22,0.1
002017,2025-08-22,0.1
002940,2025-08-22,0.1
688108,2025-08-22,0.1
688585,2025-08-25,0.1
300502,2025-08-25,0.1
603256,2025-08-25,0.1
300308,2025-08-25,0.1
301217,2025-08-25,0.1
002837,2025-08-25,0.1
688025,2025-08-25,0.1
300548,2025-08-25,0.1
300394,2025-08-25,0.1
002017,2025-08-25,0.1
688585,2025-08-26,0.1
300502,2025-08-26,0.1
603256,2025-08-26,0.1
300308,2025-08-26,0.1
300486,2025-08-26,0.1
002837,2025-08-26,0.1
300394,2025-08-26,0.1
300548,2025-08-26,0.1
002017,2025-08-26,0.1
600410,2025-08-26,0.1
300502,2025-08-27,0.1
603256,2025-08-27,0.1
300308,2025-08-27,0.1
002837,2025-08-27,0.1
300394,2025-08-27,0.1
688025,2025-08-27,0.1
300548,2025-08-27,0.1
002017,2025-08-27,0.1
600410,2025-08-27,0.1
688313,2025-08-27,0.1
